file_name,age,gender,race,age_cat
56_1_0_20170117172544019.jpg.chip.jpg,56,1,0,50
50_0_0_20170104212134308.jpg.chip.jpg,50,0,0,50
45_0_0_20170111204133863.jpg.chip.jpg,45,0,0,40
27_0_0_20170114034255912.jpg.chip.jpg,27,0,0,20
26_0_0_20170105183712607.jpg.chip.jpg,26,0,0,20
24_1_0_20170109214739809.jpg.chip.jpg,24,1,0,20
80_1_0_20170110140819226.jpg.chip.jpg,80,1,0,80+
22_1_0_20170117143206386.jpg.chip.jpg,22,1,0,20
39_0_0_20170104204717955.jpg.chip.jpg,39,0,0,30
80_1_0_20170110141751087.jpg.chip.jpg,80,1,0,80+
82_0_0_20170111223748572.jpg.chip.jpg,82,0,0,80+
40_1_0_20170117135406232.jpg.chip.jpg,40,1,0,40
48_1_0_20170119205430280.jpg.chip.jpg,48,1,0,40
35_0_0_20170117120128098.jpg.chip.jpg,35,0,0,30
40_1_0_20170117154711395.jpg.chip.jpg,40,1,0,40
53_1_0_20170110160643329.jpg.chip.jpg,53,1,0,50
58_0_0_20170113185339857.jpg.chip.jpg,58,0,0,50
56_0_0_20170111204518142.jpg.chip.jpg,56,0,0,50
32_1_0_20170117134820910.jpg.chip.jpg,32,1,0,30
20_1_0_20170117192327053.jpg.chip.jpg,20,1,0,20
13_0_0_20170110225513115.jpg.chip.jpg,13,0,0,<20
37_1_0_20170117184728225.jpg.chip.jpg,37,1,0,30
60_1_0_20170110141809495.jpg.chip.jpg,60,1,0,60
33_1_0_20170117182543343.jpg.chip.jpg,33,1,0,30
28_0_0_20170116193347672.jpg.chip.jpg,28,0,0,20
30_0_0_20170113011224350.jpg.chip.jpg,30,0,0,30
60_1_0_20170110135918382.jpg.chip.jpg,60,1,0,60
35_0_0_20170117125815720.jpg.chip.jpg,35,0,0,30
78_0_0_20170117184536534.jpg.chip.jpg,78,0,0,70
57_0_0_20170111203532804.jpg.chip.jpg,57,0,0,50
26_1_0_20170117153717556.jpg.chip.jpg,26,1,0,20
26_0_0_20170113210127258.jpg.chip.jpg,26,0,0,20
16_1_0_20170116214318225.jpg.chip.jpg,16,1,0,<20
60_1_0_20170110140806978.jpg.chip.jpg,60,1,0,60
35_0_0_20170109002832784.jpg.chip.jpg,35,0,0,30
35_0_0_20170117135012246.jpg.chip.jpg,35,0,0,30
38_0_0_20170104184023164.jpg.chip.jpg,38,0,0,30
32_1_0_20170117140131110.jpg.chip.jpg,32,1,0,30
32_1_0_20170103162938008.jpg.chip.jpg,32,1,0,30
50_0_0_20170117000757222.jpg.chip.jpg,50,0,0,50
50_0_0_20170111195423102.jpg.chip.jpg,50,0,0,50
46_1_0_20170105172747597.jpg.chip.jpg,46,1,0,40
